magazine,year,month,day,_circulation,_price,type,publishing company,titles included,editor,magazine_id,type_id,circulation_for_db,price_for_db
Life,1925,3,5,116484,$0.15,,,,,0,0,116484,$0.15
Life,1925,3,12,128026,$0.15,,,,,0,0,128026,$0.15
Life,1925,3,19,112463,$0.15,,,,,0,0,112463,$0.15
Life,1925,3,26,117822,$0.15,,,,,0,0,117822,$0.15
Life,1925,4,2,124898,$0.15,,,,,0,0,124898,$0.15
Life,1925,4,9,119317,$0.15,,,,,0,0,119317,$0.15
Life,1925,4,16,118619,$0.15,,,,,0,0,118619,$0.15
Life,1925,4,23,126556,$0.15,,,,,0,0,126556,$0.15
Life,1925,4,30,128460,$0.15,,,,,0,0,128460,$0.15
Life,1925,5,7,125792,$0.15,,,,,0,0,125792,$0.15
Life,1925,5,14,126042,$0.15,,,,,0,0,126042,$0.15
Life,1925,5,21,125755,$0.15,,,,,0,0,125755,$0.15
Life,1925,5,28,125724,$0.15,,,,,0,0,125724,$0.15
Life,1925,6,4,125408,$0.15,,,,,0,0,125408,$0.15
Life,1925,6,11,125616,$0.15,,,,,0,0,125616,$0.15
Life,1925,6,18,125225,$0.15,,,,,0,0,125225,$0.15
Life,1925,6,25,125751,$0.15,,,,,0,0,125751,$0.15
Life,1925,7,2,126555,$0.15,,,,,0,0,126555,$0.15
Life,1925,7,9,122970,$0.15,,,,,0,0,122970,$0.15
Life,1925,7,16,123568,$0.15,,,,,0,0,123568,$0.15
Life,1925,7,23,124929,$0.15,,,,,0,0,124929,$0.15
Life,1925,7,30,131405,$0.15,,,,,0,0,131405,$0.15
Life,1925,8,6,118531,$0.15,,,,,0,0,118531,$0.15
Life,1925,8,13,131108,$0.15,,,,,0,0,131108,$0.15
Life,1925,8,20,127862,$0.15,,,,,0,0,127862,$0.15
Life,1925,8,27,134308,$0.15,,,,,0,0,134308,$0.15
Life,1925,9,3,131013,$0.15,,,,,0,0,131013,$0.15
Life,1925,9,10,134534,$0.15,,,,,0,0,134534,$0.15
Life,1925,9,17,125729,$0.15,,,,,0,0,125729,$0.15
Life,1925,9,24,122232,$0.15,,,,,0,0,122232,$0.15
Life,1925,10,1,122482,$0.15,,,,,0,0,122482,$0.15
Life,1925,10,8,120501,$0.15,,,,,0,0,120501,$0.15
Life,1925,10,15,119444,$0.15,,,,,0,0,119444,$0.15
Life,1925,10,22,120688,$0.15,,,,,0,0,120688,$0.15
Life,1925,10,29,122684,$0.15,,,,,0,0,122684,$0.15
Life,1925,11,5,121576,$0.15,,,,,0,0,121576,$0.15
Life,1925,11,12,122052,$0.15,,,,,0,0,122052,$0.15
Life,1925,11,19,122152,$0.15,,,,,0,0,122152,$0.15
Life,1925,11,26,123120,$0.15,,,,,0,0,123120,$0.15
Life,1925,12,3,126442,$0.15,,,,,0,0,126442,$0.15
Life,1925,12,10,123580,$0.15,,,,,0,0,123580,$0.15
Life,1925,12,17,122840,$0.15,,,,,0,0,122840,$0.15
Life,1925,12,24,123910,$0.15,,,,,0,0,123910,$0.15
Life,1925,12,31,124981,$0.15,,,,,0,0,124981,$0.15
Life,1926,1,7,123544,$0.15,,,,,0,0,123544,$0.15
Life,1926,1,14,123281,$0.15,,,,,0,0,123281,$0.15
Life,1926,1,21,124267,$0.15,,,,,0,0,124267,$0.15
Life,1926,1,28,125715,$0.15,,,,,0,0,125715,$0.15
Life,1926,2,4,124546,$0.15,,,,,0,0,124546,$0.15
Life,1926,2,11,129300,$0.15,,,,,0,0,129300,$0.15
Life,1926,2,18,127441,$0.15,,,,,0,0,127441,$0.15
Life,1926,2,25,126277,$0.15,,,,,0,0,126277,$0.15
Life,1926,3,4,124682,$0.15,,,,,0,0,124682,$0.15
Life,1926,3,11,122310,$0.15,,,,,0,0,122310,$0.15
Life,1926,3,18,119948,$0.15,,,,,0,0,119948,$0.15
Life,1926,3,25,124705,$0.15,,,,,0,0,124705,$0.15
Life,1926,4,1,126967,$0.15,,,,,0,0,126967,$0.15
Life,1926,4,8,127241,$0.15,,,,,0,0,127241,$0.15
Life,1926,4,15,126663,$0.15,,,,,0,0,126663,$0.15
Life,1926,4,22,126907,$0.15,,,,,0,0,126907,$0.15
Life,1926,4,29,126813,$0.15,,,,,0,0,126813,$0.15
Life,1926,5,6,127190,$0.15,,,,,0,0,127190,$0.15
Life,1926,5,13,128073,$0.15,,,,,0,0,128073,$0.15
Life,1926,5,20,128752,$0.15,,,,,0,0,128752,$0.15
Life,1926,5,27,130170,$0.15,,,,,0,0,130170,$0.15
Life,1926,6,3,130456,$0.15,,,,,0,0,130456,$0.15
Life,1926,6,10,131852,$0.15,,,,,0,0,131852,$0.15
Life,1926,6,17,131903,$0.15,,,,,0,0,131903,$0.15
Life,1926,6,24,133398,$0.15,,,,,0,0,133398,$0.15
Life,1926,7,1,140185,$0.15,,,,,0,0,140185,$0.15
Life,1926,7,8,133986,$0.15,,,,,0,0,133986,$0.15
Life,1926,7,15,134568,$0.15,,,,,0,0,134568,$0.15
Life,1926,7,22,133508,$0.15,,,,,0,0,133508,$0.15
Life,1926,7,29,143569,$0.15,,,,,0,0,143569,$0.15
Life,1926,8,5,137197,$0.15,,,,,0,0,137197,$0.15
Life,1926,8,12,142333,$0.15,,,,,0,0,142333,$0.15
Life,1926,8,19,146154,$0.15,,,,,0,0,146154,$0.15
Life,1926,8,26,146879,$0.15,,,,,0,0,146879,$0.15
Life,1926,9,2,143345,$0.15,,,,,0,0,143345,$0.15
Life,1926,9,9,139785,$0.15,,,,,0,0,139785,$0.15
Life,1926,9,16,139003,$0.15,,,,,0,0,139003,$0.15
Life,1926,9,23,137762,$0.15,,,,,0,0,137762,$0.15
Life,1926,9,30,146629,$0.15,,,,,0,0,146629,$0.15
Life,1926,10,7,141324,$0.15,,,,,0,0,141324,$0.15
Life,1926,10,14,131861,$0.15,,,,,0,0,131861,$0.15
Life,1926,10,21,137570,$0.15,,,,,0,0,137570,$0.15
Life,1926,10,28,134521,$0.15,,,,,0,0,134521,$0.15
Life,1926,11,4,139344,$0.15,,,,,0,0,139344,$0.15
Life,1926,11,11,143968,$0.15,,,,,0,0,143968,$0.15
Life,1926,11,18,135351,$0.15,,,,,0,0,135351,$0.15
Life,1926,11,25,139358,$0.15,,,,,0,0,139358,$0.15
Life,1926,12,2,157494,$0.15,,,,,0,0,157494,$0.15
Life,1926,12,9,135575,$0.15,,,,,0,0,135575,$0.15
Life,1926,12,16,134789,$0.15,,,,,0,0,134789,$0.15
Life,1926,12,23,135527,$0.15,,,,,0,0,135527,$0.15
Life,1926,12,30,141802,$0.15,,,,,0,0,141802,$0.15
Life,1927,1,6,147162,$0.15,,,,,0,0,147162,$0.15
Life,1927,1,13,151974,$0.15,,,,,0,0,151974,$0.15
Life,1927,1,20,152474,$0.15,,,,,0,0,152474,$0.15
Life,1927,1,27,148084,$0.15,,,,,0,0,148084,$0.15
Life,1927,2,3,156435,$0.15,,,,,0,0,156435,$0.15
Life,1927,2,10,157047,$0.15,,,,,0,0,157047,$0.15
Life,1927,2,17,149534,$0.15,,,,,0,0,149534,$0.15
Life,1927,2,24,154221,$0.15,,,,,0,0,154221,$0.15
Life,1927,3,3,149884,$0.15,,,,,0,0,149884,$0.15
Life,1927,3,10,148830,$0.15,,,,,0,0,148830,$0.15
Life,1927,3,17,160439,$0.15,,,,,0,0,160439,$0.15
Life,1927,3,24,149260,$0.15,,,,,0,0,149260,$0.15
Life,1927,3,31,143406,$0.15,,,,,0,0,143406,$0.15
Life,1927,4,7,142554,$0.15,,,,,0,0,142554,$0.15
Life,1927,4,14,142657,$0.15,,,,,0,0,142657,$0.15
Life,1927,4,21,143004,$0.15,,,,,0,0,143004,$0.15
Life,1927,4,28,143998,$0.15,,,,,0,0,143998,$0.15
Life,1927,5,5,143403,$0.15,,,,,0,0,143403,$0.15
Life,1927,5,12,144052,$0.15,,,,,0,0,144052,$0.15
Life,1927,5,19,144071,$0.15,,,,,0,0,144071,$0.15
Life,1927,5,26,145131,$0.15,,,,,0,0,145131,$0.15
Life,1927,6,2,144363,$0.15,,,,,0,0,144363,$0.15
Life,1927,6,9,145652,$0.15,,,,,0,0,145652,$0.15
Life,1927,6,16,142608,$0.15,,,,,0,0,142608,$0.15
Life,1927,6,23,147191,$0.15,,,,,0,0,147191,$0.15
Life,1927,6,30,145448,$0.15,,,,,0,0,145448,$0.15
Life,1927,7,7,149477,$0.15,,,,,0,0,149477,$0.15
Life,1927,7,14,148488,$0.15,,,,,0,0,148488,$0.15
Life,1927,7,21,148163,$0.15,,,,,0,0,148163,$0.15
Life,1927,7,28,147238,$0.15,,,,,0,0,147238,$0.15
Life,1927,8,4,153550,$0.15,,,,,0,0,153550,$0.15
Life,1927,8,11,147287,$0.15,,,,,0,0,147287,$0.15
Life,1927,8,18,153667,$0.15,,,,,0,0,153667,$0.15
Life,1927,8,25,151806,$0.15,,,,,0,0,151806,$0.15
Life,1927,9,1,155556,$0.15,,,,,0,0,155556,$0.15
Life,1927,9,8,158645,$0.15,,,,,0,0,158645,$0.15
Life,1927,9,15,153125,$0.15,,,,,0,0,153125,$0.15
Life,1927,9,22,142372,$0.15,,,,,0,0,142372,$0.15
Life,1927,9,29,144446,$0.15,,,,,0,0,144446,$0.15
Life,1927,10,6,147263,$0.15,,,,,0,0,147263,$0.15
Life,1927,10,13,146760,$0.15,,,,,0,0,146760,$0.15
Life,1927,10,20,148270,$0.15,,,,,0,0,148270,$0.15
Life,1927,10,27,148663,$0.15,,,,,0,0,148663,$0.15
Life,1927,11,3,150459,$0.15,,,,,0,0,150459,$0.15
Life,1927,11,10,149203,$0.15,,,,,0,0,149203,$0.15
Life,1927,11,17,150758,$0.15,,,,,0,0,150758,$0.15
Life,1927,11,24,149648,$0.15,,,,,0,0,149648,$0.15
Life,1927,12,1,160833,$0.15,,,,,0,0,160833,$0.15
Life,1927,12,8,149609,$0.15,,,,,0,0,149609,$0.15
Life,1927,12,15,148293,$0.15,,,,,0,0,148293,$0.15
Life,1927,12,22,150846,$0.15,,,,,0,0,150846,$0.15
Life,1927,12,29,150565,$0.15,,,,,0,0,150565,$0.15
Life,1928,1,5,144852,$0.15,,,,,0,0,144852,$0.15
Life,1928,1,12,145362,$0.15,,,,,0,0,145362,$0.15
Life,1928,1,19,142880,$0.15,,,,,0,0,142880,$0.15
Life,1928,1,26,152031,$0.15,,,,,0,0,152031,$0.15
Life,1928,2,2,154420,$0.15,,,,,0,0,154420,$0.15
Life,1928,2,9,139212,$0.15,,,,,0,0,139212,$0.15
Life,1928,2,16,144205,$0.15,,,,,0,0,144205,$0.15
Life,1928,2,23,142934,$0.15,,,,,0,0,142934,$0.15
Life,1928,3,1,134157,$0.15,,,,,0,0,134157,$0.15
Life,1928,3,8,149731,$0.15,,,,,0,0,149731,$0.15
Life,1928,3,15,132708,$0.15,,,,,0,0,132708,$0.15
Life,1928,3,22,139149,$0.15,,,,,0,0,139149,$0.15
Life,1928,3,29,137469,$0.15,,,,,0,0,137469,$0.15
Life,1928,4,5,145101,$0.15,,,,,0,0,145101,$0.15
Life,1928,4,12,143272,$0.15,,,,,0,0,143272,$0.15
Life,1928,4,19,141409,$0.15,,,,,0,0,141409,$0.15
Life,1928,4,26,139629,$0.15,,,,,0,0,139629,$0.15
Life,1928,5,3,141255,$0.15,,,,,0,0,141255,$0.15
Life,1928,5,10,150688,$0.15,,,,,0,0,150688,$0.15
Life,1928,5,17,148555,$0.15,,,,,0,0,148555,$0.15
Life,1928,5,24,147996,$0.15,,,,,0,0,147996,$0.15
Life,1928,5,31,148186,$0.15,,,,,0,0,148186,$0.15
Life,1928,6,7,146391,$0.15,,,,,0,0,146391,$0.15
Life,1928,6,14,146180,$0.15,,,,,0,0,146180,$0.15
Life,1928,6,21,152468,$0.15,,,,,0,0,152468,$0.15
Life,1928,6,28,151990,$0.15,,,,,0,0,151990,$0.15
Life,1928,7,5,,$0.15,,,,,0,0,-1,$0.15
Life,1928,7,12,,$0.15,,,,,0,0,-1,$0.15
Life,1928,7,19,,$0.15,,,,,0,0,-1,$0.15
Life,1928,7,26,,$0.15,,,,,0,0,-1,$0.15
Life,1928,8,2,,$0.15,,,,,0,0,-1,$0.15
Life,1928,8,9,,$0.15,,,,,0,0,-1,$0.15
Life,1928,8,16,,$0.15,,,,,0,0,-1,$0.15
Life,1928,8,23,,$0.15,,,,,0,0,-1,$0.15
Life,1928,8,30,,$0.15,,,,,0,0,-1,$0.15
Life,1928,9,6,,$0.15,,,,,0,0,-1,$0.15
Life,1928,9,13,,$0.15,,,,,0,0,-1,$0.15
Life,1928,9,20,,$0.15,,,,,0,0,-1,$0.15
Life,1928,9,27,,$0.15,,,,,0,0,-1,$0.15
Life,1928,10,4,,$0.15,,,,,0,0,-1,$0.15
Life,1928,10,11,,$0.15,,,,,0,0,-1,$0.15
Life,1928,10,18,,$0.15,,,,,0,0,-1,$0.15
Life,1928,10,25,,$0.15,,,,,0,0,-1,$0.15
Life,1928,11,1,,$0.15,,,,,0,0,-1,$0.15
Life,1928,11,8,,$0.15,,,,,0,0,-1,$0.15
Life,1928,11,15,,$0.15,,,,,0,0,-1,$0.15
Life,1928,11,22,,$0.15,,,,,0,0,-1,$0.15
Life,1928,11,29,,$0.15,,,,,0,0,-1,$0.15
Life,1928,12,6,,$0.15,,,,,0,0,-1,$0.15
Life,1928,12,13,,$0.15,,,,,0,0,-1,$0.15
Life,1928,12,20,,$0.15,,,,,0,0,-1,$0.15
Life,1928,12,27,,$0.15,,,,,0,0,-1,$0.15
Life,1929,1,3,,$0.15,,,,,0,0,-1,$0.15
Life,1929,1,10,,$0.15,,,,,0,0,-1,$0.15
Life,1929,1,17,,$0.15,,,,,0,0,-1,$0.15
Life,1929,1,24,,$0.15,,,,,0,0,-1,$0.15
Life,1929,1,31,,$0.15,,,,,0,0,-1,$0.15
Life,1929,2,7,,$0.15,,,,,0,0,-1,$0.15
Life,1929,2,14,,$0.15,,,,,0,0,-1,$0.15
Life,1929,2,21,,$0.15,,,,,0,0,-1,$0.15
Life,1929,2,28,,$0.15,,,,,0,0,-1,$0.15
Life,1929,3,7,,$0.15,,,,,0,0,-1,$0.15
Life,1929,3,14,,$0.15,,,,,0,0,-1,$0.15
Life,1929,3,21,,$0.15,,,,,0,0,-1,$0.15
Life,1929,3,28,,$0.15,,,,,0,0,-1,$0.15
Life,1929,4,4,,$0.15,,,,,0,0,-1,$0.15
Life,1929,4,11,,$0.15,,,,,0,0,-1,$0.15
Life,1929,4,18,,$0.15,,,,,0,0,-1,$0.15
Life,1929,4,25,,$0.15,,,,,0,0,-1,$0.15
Life,1929,5,2,,$0.15,,,,,0,0,-1,$0.15
Life,1929,5,9,,$0.15,,,,,0,0,-1,$0.15
Life,1929,5,16,,$0.15,,,,,0,0,-1,$0.15
Life,1929,5,23,,$0.15,,,,,0,0,-1,$0.15
Life,1929,5,30,,$0.15,,,,,0,0,-1,$0.15
Life,1929,6,6,,$0.15,,,,,0,0,-1,$0.15
Life,1929,6,13,,$0.15,,,,,0,0,-1,$0.15
Life,1929,6,20,,$0.15,,,,,0,0,-1,$0.15
Life,1929,6,27,,$0.15,,,,,0,0,-1,$0.15
Life,1929,7,5,141957,$0.15,,,,,0,0,141957,$0.15
Life,1929,7,12,137094,$0.15,,,,,0,0,137094,$0.15
Life,1929,7,19,145854,$0.15,,,,,0,0,145854,$0.15
Life,1929,7,26,137893,$0.15,,,,,0,0,137893,$0.15
Life,1929,8,2,143648,$0.15,,,,,0,0,143648,$0.15
Life,1929,8,9,139877,$0.15,,,,,0,0,139877,$0.15
Life,1929,8,16,147326,$0.15,,,,,0,0,147326,$0.15
Life,1929,8,23,145323,$0.15,,,,,0,0,145323,$0.15
Life,1929,8,30,141735,$0.15,,,,,0,0,141735,$0.15
Life,1929,9,6,134392,$0.15,,,,,0,0,134392,$0.15
Life,1929,9,13,140499,$0.15,,,,,0,0,140499,$0.15
Life,1929,9,20,134923,$0.15,,,,,0,0,134923,$0.15
Life,1929,9,27,133681,$0.15,,,,,0,0,133681,$0.15
Life,1929,10,4,135684,$0.15,,,,,0,0,135684,$0.15
Life,1929,10,11,135155,$0.15,,,,,0,0,135155,$0.15
Life,1929,10,18,135873,$0.15,,,,,0,0,135873,$0.15
Life,1929,10,25,136641,$0.15,,,,,0,0,136641,$0.15
Life,1929,11,1,134268,$0.15,,,,,0,0,134268,$0.15
Life,1929,11,8,134551,$0.15,,,,,0,0,134551,$0.15
Life,1929,11,15,133400,$0.15,,,,,0,0,133400,$0.15
Life,1929,11,22,134153,$0.15,,,,,0,0,134153,$0.15
Life,1929,11,29,134531,$0.15,,,,,0,0,134531,$0.15
Life,1929,12,6,144579,$0.15,,,,,0,0,144579,$0.15
Life,1929,12,13,133454,$0.15,,,,,0,0,133454,$0.15
Life,1929,12,20,132905,$0.15,,,,,0,0,132905,$0.15
Life,1929,12,27,133494,$0.15,,,,,0,0,133494,$0.15
Life,1930,1,3,130621,$0.15,,,,,0,0,130621,$0.15
Life,1930,1,10,125477,$0.15,,,,,0,0,125477,$0.15
Life,1930,1,17,124306,$0.15,,,,,0,0,124306,$0.15
Life,1930,1,24,124146,$0.15,,,,,0,0,124146,$0.15
Life,1930,1,31,131527,$0.15,,,,,0,0,131527,$0.15
Life,1930,2,7,123315,$0.15,,,,,0,0,123315,$0.15
Life,1930,2,14,123066,$0.15,,,,,0,0,123066,$0.15
Life,1930,2,21,120292,$0.15,,,,,0,0,120292,$0.15
Life,1930,2,28,115994,$0.15,,,,,0,0,115994,$0.15
Life,1930,3,7,125877,$0.15,,,,,0,0,125877,$0.15
Life,1930,3,14,124233,$0.15,,,,,0,0,124233,$0.15
Life,1930,3,21,123474,$0.15,,,,,0,0,123474,$0.15
Life,1930,3,28,124049,$0.15,,,,,0,0,123474,$0.15
Life,1930,4,4,123445,$0.15,,,,,0,0,123445,$0.15
Life,1930,4,11,123922,$0.15,,,,,0,0,123922,$0.15
Life,1930,4,18,123337,$0.15,,,,,0,0,123337,$0.15
Life,1930,4,25,123791,$0.15,,,,,0,0,123791,$0.15
Life,1930,5,2,123295,$0.15,,,,,0,0,123295,$0.15
Life,1930,5,9,121021,$0.15,,,,,0,0,121021,$0.15
Life,1930,5,16,120978,$0.15,,,,,0,0,120978,$0.15
Life,1930,5,23,120185,$0.15,,,,,0,0,120185,$0.15
Life,1930,5,30,118136,$0.15,,,,,0,0,118136,$0.15
Life,1930,6,6,116961,$0.15,,,,,0,0,116961,$0.15
Life,1930,6,13,117157,$0.15,,,,,0,0,117157,$0.15
Life,1930,6,20,117203,$0.15,,,,,0,0,117203,$0.15
Life,1930,6,27,116516,$0.15,,,,,0,0,116516,$0.15
Life,1930,7,4,111395,$0.15,,,,,0,0,111395,$0.15
Life,1930,7,11,110340,$0.15,,,,,0,0,110340,$0.15
Life,1930,7,18,108383,$0.15,,,,,0,0,108383,$0.15
Life,1930,7,25,106057,$0.15,,,,,0,0,106057,$0.15
Life,1930,8,1,107951,$0.15,,,,,0,0,107951,$0.15
Life,1930,8,8,108124,$0.15,,,,,0,0,108124,$0.15
Life,1930,8,15,109136,$0.15,,,,,0,0,109136,$0.15
Life,1930,8,22,106158,$0.15,,,,,0,0,106158,$0.15
Life,1930,8,29,113293,$0.15,,,,,0,0,113293,$0.15
Life,1930,9,5,109856,$0.15,,,,,0,0,109856,$0.15
Life,1930,9,12,104474,$0.15,,,,,0,0,104474,$0.15
Life,1930,9,19,102162,$0.15,,,,,0,0,102162,$0.15
Life,1930,9,26,102827,$0.15,,,,,0,0,102827,$0.15
Life,1930,10,3,105709,$0.15,,,,,0,0,105709,$0.15
Life,1930,10,10,105387,$0.15,,,,,0,0,105387,$0.15
Life,1930,10,17,108030,$0.15,,,,,0,0,108030,$0.15
Life,1930,10,24,111399,$0.15,,,,,0,0,111399,$0.15
Life,1930,10,31,111332,$0.15,,,,,0,0,111332,$0.15
Life,1930,11,7,110642,$0.15,,,,,0,0,110642,$0.15
Life,1930,11,14,111150,$0.15,,,,,0,0,111150,$0.15
Life,1930,11,21,110352,$0.15,,,,,0,0,110352,$0.15
Life,1930,11,28,111237,$0.15,,,,,0,0,111237,$0.15
Life,1930,12,5,122902,$0.15,,,,,0,0,122902,$0.15
Life,1930,12,12,107698,$0.15,,,,,0,0,107698,$0.15
Life,1930,12,19,106610,$0.15,,,,,0,0,106610,$0.15
Life,1930,12,26,106978,$0.15,,,,,0,0,106978,$0.15
Life,1931,1,2,103838,$0.15,,,,,0,0,103838,$0.15
Life,1931,1,9,102405,$0.15,,,,,0,0,102405,$0.15
Life,1931,1,16,100495,$0.15,,,,,0,0,100495,$0.15
Life,1931,1,23,97868,$0.15,,,,,0,0,97868,$0.15
Life,1931,1,30,99471,$0.15,,,,,0,0,99471,$0.15
Life,1931,2,6,97413,$0.15,,,,,0,0,97413,$0.15
Life,1931,2,13,99032,$0.15,,,,,0,0,99032,$0.15
Life,1931,2,20,101344,$0.15,,,,,0,0,101344,$0.15
Life,1931,2,27,92608,$0.15,,,,,0,0,92608,$0.15
Life,1931,3,6,98461,$0.15,,,,,0,0,98461,$0.15
Life,1931,3,13,95084,$0.15,,,,,0,0,95084,$0.15
Life,1931,3,20,94782,$0.15,,,,,0,0,94782,$0.15
Life,1931,3,27,101898,$0.15,,,,,0,0,101898,$0.15
Life,1931,4,3,101905,$0.15,,,,,0,0,101905,$0.15
Life,1931,4,10,102194,$0.15,,,,,0,0,102194,$0.15
Life,1931,4,17,101793,$0.15,,,,,0,0,101793,$0.15
Life,1931,4,24,101782,$0.15,,,,,0,0,101782,$0.15
Life,1931,5,1,101271,$0.15,,,,,0,0,101271,$0.15
Life,1931,5,8,101483,$0.15,,,,,0,0,101483,$0.15
Life,1931,5,15,101122,$0.15,,,,,0,0,101122,$0.15
Life,1931,5,22,101400,$0.15,,,,,0,0,101400,$0.15
Life,1931,5,29,101438,$0.15,,,,,0,0,101438,$0.15
Life,1931,6,5,100692,$0.15,,,,,0,0,100692,$0.15
Life,1931,6,12,100887,$0.15,,,,,0,0,100887,$0.15
Life,1931,6,19,100475,$0.15,,,,,0,0,100475,$0.15
Life,1931,6,26,100674,$0.15,,,,,0,0,100674,$0.15
Life,1931,7,3,90167,$0.15,,,,,0,0,90167,$0.15
Life,1931,7,10,85612,$0.15,,,,,0,0,85612,$0.15
Life,1931,7,17,89122,$0.15,,,,,0,0,89122,$0.15
Life,1931,7,24,95610,$0.15,,,,,0,0,95610,$0.15
Life,1931,7,31,96885,$0.15,,,,,0,0,96885,$0.15
Life,1931,8,7,90564,$0.15,,,,,0,0,90564,$0.15
Life,1931,8,14,92545,$0.15,,,,,0,0,92545,$0.15
Life,1931,8,21,96621,$0.15,,,,,0,0,96621,$0.15
Life,1931,8,28,98916,$0.15,,,,,0,0,98916,$0.15
Life,1931,9,4,97223,$0.15,,,,,0,0,97223,$0.15
Life,1931,9,11,91873,$0.15,,,,,0,0,91873,$0.15
Life,1931,9,18,87681,$0.15,,,,,0,0,87681,$0.15
Life,1931,9,25,84730,$0.15,,,,,0,0,84730,$0.15
Life,1931,10,2,81717,$0.15,,,,,0,0,81717,$0.15
Life,1931,10,9,84413,$0.15,,,,,0,0,84413,$0.15
Life,1931,10,16,87366,$0.15,,,,,0,0,87366,$0.15
Life,1931,10,23,83019,$0.15,,,,,0,0,83019,$0.15
Life,1931,10,30,89557,$0.15,,,,,0,0,89557,$0.15
Life,1931,11,6,88671,$0.15,,,,,0,0,88671,$0.15
Life,1931,11,13,89098,$0.15,,,,,0,0,89098,$0.15
